Entidad,1990,1995,2000,2005,2010,2020
Estados Unidos Mexicanos,81249645,91158290,97483412,103263388,112336538,126014024
Aguascalientes,719659,862720,944285,1065416,1184996,1425607
Baja California,1660855,2112140,2487367,2844469,3155070,3769020
Baja California Sur,317764,375494,424041,512170,637026,798447
Campeche,535185,642516,690689,754730,822441,928363
Coahuila,1972340,2173775,2298070,2495200,2748391,3146771
Colima,428510,488028,542627,567996,650555,731391
Chiapas,3210496,3584786,3920892,4293459,4796580,5543828
Chihuahua,2441873,2793537,3052907,3241444,3406465,3741869
Ciudad de México,8235744,8489007,8605239,8720916,8851080,9209944
Durango,1349378,1431748,1448661,1509117,1632934,1832650
Guanajuato,3982593,4406568,4663032,4893812,5486372,6166934
Guerrero,2620637,2916567,3079649,3115202,3388768,3540685
Hidalgo,1888366,2112473,2235591,2345514,2665018,3082841
Jalisco,5302689,5991176,6322002,6752113,7350682,8348151
Estado de México,9815795,11707964,13096686,14007495,15175862,16992418
Michoacán,3548199,3870604,3985667,3966073,4351037,4748846
Morelos,1195059,1442662,1555296,1612899,1777227,1971520
Nayarit,824643,896702,920185,949684,1084979,1235456
Nuevo León,3098736,3550114,3834141,4199292,4653458,5784442
Oaxaca,3019560,3228895,3438765,3506821,3801962,4132148
Puebla,4126101,4624365,5076686,5383133,5779829,6583278
Querétaro,1051235,1250476,1404306,1598139,1827937,2368467
Quintana Roo,493277,703536,874963,1135309,1325578,1857985
San Luis Potosí,2003187,2200763,2299360,2410414,2585518,2822255
Sinaloa,2204054,2425675,2536844,2608442,2767761,3026943
Sonora,1823606,2085536,2216969,2394861,2662480,2944840
Tabasco,1501744,1748769,1891829,1989969,2238603,2402598
Tamaulipas,2249581,2527328,2753222,3024238,3268554,3527735
Tlaxcala,761277,883924,962646,1068207,1169936,1342977
Veracruz,6228239,6737324,6908975,7110214,7643194,8062579
Yucatán,1362940,1556622,1658210,1818948,1955577,2320898
Zacatecas,1276323,1336496,1353610,1367692,1490668,1622138
